code,description,steps
05000,Зуммер в панели приборов.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/9.
05001,Лампа индикации неисправностей в панели приборов.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; Разводка контактов А302: X/14.
05600,Фиксация кабины.,Приоритет 1: Требуется остановка двигателя. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления; 6. Замыкание на Uбат..  Разводка контактов А302: R1/1.
05700,Заданное положение ACC (система регулирования скорости движения с автоматическим поддержанием безопасной дистанции).,"Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.. Разводка контактов А302: F2/2."
06000,"Тахограф TCO1, отказ при приёме или при передаче сообщений.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 8. Сигнал неверный."
06001,"ACC (система регулирования скорости движения с автоматическим поддержанием безопасной дистанции), отказ при приёме или при передаче сообщений.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 8. Сигнал неверный.
06002,"Дата и время, отказ при приёме или при передаче сообщений.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 8. Сигнал неверный."
06003,"Управление скоростью автомобиля, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06004,"Панель приборов, отказ при приёме или при передаче сообщений.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 8. Сигнал неверный."
06005,"Сообщение EBS1 системы EBS (тормозная система с электронным управлением), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06006,"Сообщение ECAS1 системы ECAS (пневматическая подвеска с электронным управлением), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06008,"Сообщение EEC1 (электронный контроллер двигателя) системы FFR (автомобильный компьютер), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06009,"Сообщение ERC_RE вспомогательного тормоза-замедлителя, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06010,"Сообщение ERC_RD основного тормоза-замедлителя, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06011,"Давление масла в двигателе, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06012,"Температура охлаждающей жидкости, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06013,"Параметры окружающей среды, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06016,"Сообщение EBS3 системы EBS (тормозная система с электронным управлением), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06017,"Сообщение EBS4 системы EBS (тормозная система с электронным управлением), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06018,"Сигнал частоты вращения вала двигателя, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06020,"Сообщение ETC2 системы FFR, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06021,"Сообщение ETC3 системы FFR, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06022,"Сигнал о расходе топлива с момента последнего сброса, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 4. Сигнал отсутствует."
06023,"Сигнал о расходе топлива в литрах в час, отказ при приёме или при передаче сообшений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06024,"Информация о давлении нагнетаемого воздуха, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06025,"Сообщение TC1_FT системы FFR с автоматической коробкой передач, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06026,"Сообщение ACC1 о индикации сигнала ACC, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06027,"Сигнал Aux_stat_ZBR_1 не передаётся по каналу данных T-CAN как 1 сообщение, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06028,"Сигнал Aux_stat_ZBR_1 не передаётся по каналу данных I-CAN как 1 сообщение, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06029,"Сигнал в канале данных I-CAN указателя уровня в бачке жидкости стеклоомывателя, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06030,"Сообщение моторного тормоза ERC1_RX от FFR, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06032,"Сигнал Aux_stat_ZBR_2 не передаётся по каналу данных I-CAN как 2 сообщение, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06033,"Сигнал Aux_stat_ZBR_3 не передаётся по каналу данных I-CAN как 3 сообщение, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06034,"Резервный сигнал Aux_stat_ZBR_4 не передаётся по каналу данных I-CAN как 4 сообщение, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06035,"Сигнал ""Питание автомобиля"" в канале данных CAN, напряжение на клемме 30 и 15 от EDC через FFR, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06036,"Сигнал о уровне жидкости во  вспомогательном тормозе-замедлителе, отказ о приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06037,"Сигнал о уровне жидкости в основном тормозе-замедлителе, отказ о приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06038,"Сообщение EEC2 2 электронной системы управления двигателем, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06039,"Сигнал о уровне жидкости в коробке передач, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06040,"Сигнал о нагрузке на задний мост (система EBS), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06041,"Сигнал о загрузке автомобиля (система ECAS), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06042,"Сигнал о конфигурации двигателя, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06043,"Сообщение ""SPN Response (запрос данных MAN)"" по каналу данных I-CAN, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06044,"Сообщение ""SPN Response (запрос данных MAN)"" по каналу данных I-CAN, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06045,"Сообщение ECAM1 по каналу данных T-CAN, сигнал оставшегося давления, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06046,"Сообщение от системы WSK (гидротрансформаторное сцепление), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06047,"Сообщение VDC1 не принято из за неисправности канала данных T-CAN, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06048,"Сообщение ETC2 по каналу данных I-CAN, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06050,"Сообщение DM1 от ZBR2 по каналу данных I-CAN, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06051,"Сообщение DM1 памяти неисправностей и памяти OBDU (прибор бортовой диагностики), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06052,"Сообщение о номере шасси по каналу данных I-CAN, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06053,"Сообщение от KSM2 (устройство управления для внешнего обмена данными) по каналу данных T-CAN, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06054,"Сообщение ECAS ASС1_А (пневматическая подвеска с электронным управлением), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06055,"Сообщение ECAS ASС1_B (пневматическая подвеска с электронным управлением), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06056,"Сообщение ECAS ASС1_B (пневматическая подвеска с электронным управлением), отказ при приёме или при передаче сообщений.", 
06057,"Сообщение о номере шасси по каналу данных I-CAN, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06058,"Сигнал Aux_Stat Inst2 по каналу данных I-CAN, в канале данных отсутствуют сообщения о переключении, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06059,"Сообщение ESP, отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06060,"Сообщение ECAS ASС3 (пневматическая подвеска с электронным управлением), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06061,"Сообщение о массе автомобиля от системы ECAS(пневматическая подвеска с электронным управлением), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06062,"Сообщение о массе автомобиля от системы EBS (тормозная система с электронным управлением), отказ при приёме или при передаче сообщений.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Сигнал неверный."
06202,Сообщение Aux_stat_ZBR2 по каналу данных I-CAN (резерв изготовителя для ZBR или ZBRO).,"Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06203,Сообщение Aux_stat_ZBR3 по каналу данных I-CAN (резерв изготовителя для ZBR или ZBRO).,"Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06204,Модифицированное сообщение ETC2 по каналу данных I-CAN(резерв изготовителя для ZBR или ZBRO).,"Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06205,Сообщение от приборной панели по каналу данных I-CAN (резерв изготовителя для ZBR или ZBRO).,"Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06206,Сообщение ECAM1 по каналу данных T-CAN (резерв изготовителя для ZBR или ZBRO).,"Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06207,Сообщение ECAM1 по каналу данных I-CAN (резерв изготовителя для ZBR или ZBRO).,"Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации."
06208,Сообщение DM1 ZBR2 (резерв изготовителя для ZBR или ZBRO).,Приоритет 5: Индикация во время остановки и во время движения автомобиля.
06209,Сообщение DM1 OBDU по каналу данных I-CAN (резерв изготовителя для ZBR или ZBRO).,Приоритет 5: Индикация во время остановки и во время движения автомобиля.
06250,Буфер сообщений канала данных CAN отсутствует (резерв изготовителя для ZBR или ZBRO).,"Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 4. Сигнал отсутствует."
06251,Сообщения в канале данных CAN не обрабатываются (резерв изготовителя для ZBR или ZBRO).,"Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 4. Сигнал отсутствует."
06280,Ошибка проверки ПЗУ (код программы) (резерв изготовителя для ZBR или ZBRO).,"Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 3. Неприемлемый."
06281,Ошибка проверки ПЗУ (параметр EOL (заводское программирование)) (резерв изготовителя для ZBR или ZBRO).,"Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 3. Неприемлемый."
06302,"К-кабель для KWP2000 (протокол для диагностики при помощи ПК), последовательная связь.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Разводка контактов А302: М/10."
06303,"T-CAN Masse, последовательная связь.",Разводка контактов А302: М/9.
06304,"Сигнал о временном сбое канала данных T-CAN, последовательная связь.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 4. Сигнал отсутствует."
06305,"Сигнал о временном сбое канала данных I-CAN, последовательная связь.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 4. Сигнал отсутствует."
08010,Сообщение о падении давления ниже допустимого уровня в ECAM (пневматическая подвеска с электронным управлением).,"Приоритет 1: Требуется остановка двигателя или Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 2. Слишком низкое."
08104,Остаточное давление в 5 контуре (входной контур) в системе ECAM (пневматическая подвеска с электронным управлением).,Приоритет 1: Требуется остановка двигателя. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 4. Сигнал отсутствует; 6. Замыкание на Uбат. Разводка контактов А302: М/15.
